Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,91.290001,91.519997,88.570000,88.599998,86.757561,8806800
2022-09-22,88.000000,88.019997,84.379997,84.699997,82.938660,9953000
2022-09-23,83.900002,84.440002,83.230003,84.169998,82.419678,7153200
2022-09-26,84.309998,86.029999,84.279999,84.809998,83.046364,7583500
2022-09-27,85.970001,86.500000,83.169998,84.279999,82.527382,8628800
2022-09-28,84.680000,87.480003,84.250000,87.110001,85.298546,7850800
2022-09-29,86.809998,87.339996,85.610001,86.570000,84.769775,6881500
2022-09-30,86.570000,86.699997,84.150002,84.260002,82.507805,7737500
2022-10-03,84.750000,86.220001,83.800003,85.620003,83.839531,6739900
2022-10-04,87.089996,88.949997,86.860001,88.510002,86.669426,5982400
2022-10-05,87.730003,90.639999,87.550003,90.120003,88.245956,7980800
2022-10-06,90.190002,90.900002,89.260002,89.349998,87.491959,6893800
2022-10-07,88.540001,88.900002,86.300003,87.029999,85.220200,6606400
2022-10-10,87.010002,87.570000,86.129997,87.059998,85.249580,5092400
2022-10-11,86.709999,87.199997,85.639999,86.209999,84.417259,5531300
2022-10-12,87.000000,88.059998,86.410004,86.870003,85.063538,5261900
2022-10-13,85.089996,89.970001,84.709999,89.370003,87.511551,7616600
2022-10-14,90.010002,90.699997,86.239998,86.370003,84.573936,6315200
2022-10-17,87.900002,89.220001,87.809998,88.900002,87.051315,6255300
2022-10-18,90.110001,90.470001,88.080002,88.959999,87.110069,5484400
2022-10-19,88.389999,89.129997,87.010002,87.519997,85.700020,6473400
2022-10-20,87.330002,88.230003,86.470001,86.790001,84.985199,4540700
2022-10-21,87.000000,88.970001,86.559998,88.610001,86.767349,9088800
2022-10-24,86.900002,87.510002,82.430000,83.760002,82.018211,16499300
2022-10-25,84.099998,86.000000,84.099998,85.209999,83.438049,10674000
2022-10-26,85.610001,88.230003,85.480003,85.889999,84.103905,9987000
2022-10-27,86.129997,86.400002,84.080002,85.279999,83.506599,9524600
2022-10-28,85.169998,87.790001,84.309998,87.099998,85.288750,8284900
2022-10-31,86.599998,87.570000,85.949997,86.589996,84.789352,7401100
2022-11-01,88.059998,88.879997,86.580002,87.099998,85.288750,6219600
2022-11-02,87.269997,88.580002,84.529999,84.580002,82.821159,7653200
2022-11-03,84.070000,85.470001,82.970001,84.680000,82.919075,8855100
2022-11-04,91.980003,93.599998,90.519997,91.860001,89.949768,20194300
2022-11-07,91.669998,92.360001,89.279999,90.449997,88.569084,10190200
2022-11-08,90.919998,93.779999,90.919998,92.750000,90.821259,9675500
2022-11-09,91.610001,92.599998,91.339996,91.629997,90.240204,6271200
2022-11-10,93.889999,96.419998,93.330002,96.260002,94.799980,10408400
2022-11-11,96.760002,98.669998,96.570000,97.379997,95.902992,8294400
2022-11-14,97.129997,98.559998,96.690002,97.419998,95.942390,8521100
2022-11-15,98.910004,99.529999,97.290001,97.830002,96.346176,6410000
2022-11-16,96.519997,97.959999,96.260002,97.070000,95.597694,5348900
2022-11-17,95.209999,97.010002,95.099998,96.970001,95.499214,5245600
2022-11-18,97.750000,98.349998,97.129997,97.949997,96.464348,5964800
2022-11-21,96.989998,98.489998,96.699997,98.320000,96.828735,4499200
2022-11-22,98.500000,98.730003,97.519997,98.430000,96.937073,5398600
